label,text
Typhoid,"The diarrhea has been quite fluid and smelly, and it has been accompanied by severe abdominal pain and headache. Most of the time, I feel like vomiting."
ALS,"It started with difficulty swallowing, but now it's spreading."
Cervical Spondylosis,I've seen signs of rash along with fatigue.
Jaundice,"I have been experiencing intense itching, vomiting, and fatigue. I have also lost weight and have a high fever. My skin has turned yellow and my urine is dark. I have been having abdominal pain as well."
Diphtheria,"I haven’t had a major fever, but I feel really sick"
Diphtheria,I feel chilled even though the room is warm
Acne,I've seen signs of fatigue along with fatigue.
Psoriasis,"There is a persistent issue with nail pitting, and I'm concerned."
Varicose Veins,"I've been having fever, and it's been getting worse."
Impetigo,I have cough and also noticed related problems recently.
Graves' Disease,"It started with irregular heartbeat, but now it's spreading."
Common Cold,"I always get hot, puffy eyes and the feeling that something is obstructing my sinuses. My chest feels quite heavy, and I've been coughing up a lot of gunk. I have no sense of smell, and my muscles hurt a lot."
Migraine,My doctor mentioned that my throbbing headache could be related to Migraine.
Ehlers-Danlos Syndrome,The chronic pain is affecting my daily life significantly.
Cushing's Syndrome,The muscle weakness is affecting my daily life significantly.
Endometriosis,I'm feeling discomfort due to pain during sex.
Ebola Virus,My muscles feel like they’re tearing from the inside
Malaria,"Whenever I rest, the fatigue seems to intensify."
Meniere's Disease,I've seen signs of tinnitus along with fatigue.
Acne,"Whenever I rest, the rash seems to intensify."
Allergy,"I have breathing problems and become out of breath easily. My eyes ache, I have a dry, hacking cough, and my face and body are bloated."
Dimorphic Hemorrhoids,"I've been suffering from severe constipation lately, and whenever I do go to the restroom, it hurts a lot. Aside from that, my anus has been really itchy, and I've observed some blood in my stool."
Cushing's Syndrome,I have muscle weakness and also noticed related problems recently.
Sarcoidosis,"I've been having shortness of breath, and it's been getting worse."
Common Cold,The rash is affecting my daily life significantly.
Ehlers-Danlos Syndrome,I've seen signs of chronic pain along with fatigue.
Endometriosis,"There is a persistent issue with pain during sex, and I'm concerned."
Bronchial Asthma,"Hey, I've got a dry cough, trouble breathing, and a high fever. I'm producing a lot of mucus and am feeling quite weak and exhausted."
Common Cold,I have pain and also noticed related problems recently.
Malaria,"There is a persistent issue with fatigue, and I'm concerned."
Malaria,"It started with pain, but now it's spreading."
Endometriosis,"It started with infertility, but now it's spreading."
Raynaud's Disease,"Whenever I rest, the tingling seems to intensify."
Lupus,I've seen signs of fever along with fatigue.
Fungal Infection,"It started with rash, but now it's spreading."
Common Cold,I've been feeling really sick and I've had a lot of fatigue. I've had a really bad cough and my throat has been really sore. I've had a lot of sinus pressure and my nose has been really congested. I just feel really run down and miserable.
Diabetes,My doctor mentioned that my blurred vision could be related to Diabetes.
Meniere's Disease,I have hearing loss and also noticed related problems recently.
Jaundice,"I've been losing weight and experiencing nausea, itching, and exhaustion. My skin has become yellow, and I have a severe fever. I have dark urine, and I've been having stomach pain."
Arthritis,"I've been experiencing stiffness and weakness in my neck muscles recently. Since my joints have grownup, it's onerous on behalf of me to run while not obtaining stiff. in addition, walking has been extraordinarily uncomfortable."
Varicose Veins,My veins of legs have become more visible and swollen than normal. They are visible through my skin and it hurts when I move.
Multiple Sclerosis,I have numbness and also noticed related problems recently.
Pneumonia,I'm feeling discomfort due to cough.
Urinary Tract Infection,"It started with fatigue, but now it's spreading."
Cystic Fibrosis,I have poor growth and also noticed related problems recently.
Allergy,"There is a persistent issue with rash, and I'm concerned."
Typhoid,"There is a persistent issue with fatigue, and I'm concerned."
Gastroesophageal Reflux Disease,"Even when I don't have anything acidic in my stomach, I constantly have a sour taste in my mouth. I frequently have a lump in my throat and the hiccups."
Common Cold,"Whenever I rest, the fever seems to intensify."
Impetigo,"A few days ago, I experienced a tiny rash around my nose. The rash is now accompanied by a burning feeling and skin redness and discharge of fluid. I believe it is some sort of infection."
Gastroesophageal Reflux Disease,"Whenever I rest, the cough seems to intensify."
Peptic Ulcer Disease,"My bloody stools have caused me to lose a lot of things, including iron and bloos. I now have anaemia as a result, and I typically feel rather weak."
Impetigo,I've seen signs of pain along with fatigue.
Cystic Fibrosis,I'm feeling discomfort due to lung infections.
Chicken Pox,"I'm feeling fatigued and have no energy. I can barely keep my eyes open during the day, and I've been feeling lethargic and unable to motivate myself."
Hepatitis B,"Lately, I noticed fever, which is unusual for me."
Raynaud's Disease,I've seen signs of cold fingers along with fatigue.
Myasthenia Gravis,"I've been having drooping eyelids, and it's been getting worse."
Sarcoidosis,I've seen signs of swollen lymph nodes along with fatigue.
Acute Lymphoblastic Leukaemia,"Whenever I rest, the fever seems to intensify."
Lupus,"It started with hair loss, but now it's spreading."
Ehlers-Danlos Syndrome,I've seen signs of skin elasticity along with fatigue.
Impetigo,"There is a persistent issue with fatigue, and I'm concerned."
Lupus,"It started with joint pain, but now it's spreading."
Sarcoidosis,I've seen signs of shortness of breath along with fatigue.
Lupus,The hair loss is affecting my daily life significantly.
Urinary Tract Infection,I'm feeling discomfort due to pain.
Diphtheria,"Whenever I rest, the fatigue seems to intensify."
Myasthenia Gravis,My doctor mentioned that my muscle weakness could be related to Myasthenia Gravis.
Meniere's Disease,I've seen signs of ear pressure along with fatigue.
Urinary Tract Infection,"I've been having cough, and it's been getting worse."
Tuberculosis,Sometimes my heartbeat feels irregular after coughing fits.
Acne,"I discovered a huge rash on my skin yesterday. My face is covered of blackheads and pus-filled pimples, and my skin has been crawling a lot."
Psoriasis,"My arms, face and back are all red and irritated. It is frequently irritating and unpleasant. My nails have a strange inflammation and have developed small dents. I have never seen anything like this."
Acne,"A skin rash with several pus-filled pimples and blackheads has been bothering me lately. Additionally, my skin has been scurring a lot."
Gastroesophageal Reflux Disease,"Whenever I rest, the fever seems to intensify."
Peptic Ulcer Disease,My doctor mentioned that my fever could be related to Peptic Ulcer Disease.
Impetigo,"I feel I have a skin condition. My face has rashes and little blisters around my nose. The wounds have turned red and painful, and a yellow liquid is oozing from them."
Ebola Virus,I’m bleeding from the ears and don’t understand why
Malaria,"I've been having rash, and it's been getting worse."
Gastroesophageal Reflux Disease,"It started with fatigue, but now it's spreading."
Crohn's Disease,The rectal bleeding is affecting my daily life significantly.
Tuberculosis,"Even with good food, I keep losing weight."
Dengue,The skin rash I have developed is accompanied by redness and swelling. I don’t feel well as I have severe fever accompanied with body pain.
Meniere's Disease,"Lately, I noticed tinnitus, which is unusual for me."
Typhoid,"I've been having pain, and it's been getting worse."
Chicken Pox,"There is a persistent issue with pain, and I'm concerned."
Parkinson's Disease,"There is a persistent issue with slowed movement, and I'm concerned."
Jaundice,"I've been exhausted and experiencing nausea and itching. In addition, I've lost weight and have a temperature. My urine is dark, and my skin has turned yellow. Additionally, I've been having stomach pain."
Fungal Infection,"Lately, I noticed rash, which is unusual for me."
Pneumonia,"Whenever I rest, the pain seems to intensify."
Fungal Infection,"I've been itching and have rashy patches all over my skin recently. There are also some regions that don't appear to be the regular tone of my skin, and I've experienced some painful bumps."
